pdb_id,chain,protein,is_actin
9qfw,9qfw_Q,"WD repeat-containing protein 1,Methylated-DNA--protein-cysteine methyltransferase",False
8ru0,8ru0_B,"Actin, alpha skeletal muscle",True
8ru0,8ru0_A,"Actin, alpha skeletal muscle",True
8ru0,8ru0_C,"Actin, alpha skeletal muscle",True
8ru0,8ru0_D,"Actin, alpha skeletal muscle",True
9qfq,9qfq_F,Cofilin-1,False
9qfq,9qfq_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qfq,9qfq_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qfq,9qfq_G,Cofilin-1,False
9qfq,9qfq_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qfq,9qfq_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qfq,9qfq_H,Cofilin-1,False
9qfq,9qfq_E,"Actin, cytoplasmic 1, N-terminally processed",True
9qfq,9qfq_I,Cofilin-1,False
9qfq,9qfq_P,"WD repeat-containing protein 1,Methylated-DNA--protein-cysteine methyltransferase",False
9qfq,9qfq_J,Cofilin-1,False
8uee,8uee_F,"Actin, alpha skeletal muscle",True
8uee,8uee_H,"Actin, alpha skeletal muscle",True
8uee,8uee_J,"Actin, alpha skeletal muscle",True
8uee,8uee_C,Cell invasion protein SipA,False
8uee,8uee_D,Cell invasion protein SipA,False
8uee,8uee_I,"Actin, alpha skeletal muscle",True
8uee,8uee_K,"Actin, alpha skeletal muscle",True
8uee,8uee_M,"Actin, alpha skeletal muscle",True
8uee,8uee_A,Cell invasion protein SipA,False
8uee,8uee_L,"Actin, alpha skeletal muscle",True
8uee,8uee_B,Cell invasion protein SipA,False
9qfo,9qfo_G,Cofilin-1,False
9qfo,9qfo_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qfo,9qfo_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qfo,9qfo_H,Cofilin-1,False
9qfo,9qfo_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qfo,9qfo_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qfo,9qfo_I,Cofilin-1,False
9qfo,9qfo_E,"Actin, cytoplasmic 1, N-terminally processed",True
9qfo,9qfo_J,Cofilin-1,False
9qfo,9qfo_F,"Actin, cytoplasmic 1, N-terminally processed",True
8d18,8d18_A,"Actin, alpha skeletal muscle",True
8d18,8d18_B,"Actin, alpha skeletal muscle",True
8d18,8d18_C,"Actin, alpha skeletal muscle",True
8d18,8d18_D,"Actin, alpha skeletal muscle",True
8d18,8d18_E,"Actin, alpha skeletal muscle",True
8d18,8d18_F,"Actin, alpha skeletal muscle",True
8d18,8d18_G,"Actin, alpha skeletal muscle",True
9sgk,9sgk_F,"Actin, alpha skeletal muscle",True
9sgk,9sgk_H,"Actin, alpha skeletal muscle",True
9sgk,9sgk_I,"Actin, alpha skeletal muscle",True
9sgk,9sgk_J,"Actin, alpha skeletal muscle",True
9sgk,9sgk_G,"Actin, alpha skeletal muscle",True
9qfk,9qfk_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qfk,9qfk_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qfk,9qfk_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qfk,9qfk_H,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfk,9qfk_I,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfk,9qfk_J,Cofilin-1,False
9qfk,9qfk_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qfk,9qfk_K,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfk,9qfk_E,"Actin, cytoplasmic 1, N-terminally processed",True
9qfk,9qfk_L,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfk,9qfk_F,"Actin, cytoplasmic 1, N-terminally processed",True
9qfk,9qfk_M,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfk,9qfk_G,"Actin, cytoplasmic 1, N-terminally processed",True
9qfk,9qfk_N,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
8d17,8d17_A,"Actin, alpha skeletal muscle",True
8d17,8d17_B,"Actin, alpha skeletal muscle",True
8d17,8d17_C,"Actin, alpha skeletal muscle",True
8d17,8d17_D,"Actin, alpha skeletal muscle",True
8d17,8d17_E,"Actin, alpha skeletal muscle",True
8d17,8d17_F,"Actin, alpha skeletal muscle",True
8d17,8d17_G,"Actin, alpha skeletal muscle",True
9qgk,9qgk_A,Inositol-trisphosphate 3-kinase A,False
9qgk,9qgk_H,"Actin, alpha skeletal muscle",True
9qgk,9qgk_I,"Actin, alpha skeletal muscle",True
9qgk,9qgk_B,Inositol-trisphosphate 3-kinase A,False
9qgk,9qgk_F,"Actin, alpha skeletal muscle",True
9qgk,9qgk_J,"Actin, alpha skeletal muscle",True
9qgk,9qgk_C,Inositol-trisphosphate 3-kinase A,False
9qgk,9qgk_G,"Actin, alpha skeletal muscle",True
9qgk,9qgk_D,Inositol-trisphosphate 3-kinase A,False
9qgk,9qgk_E,Inositol-trisphosphate 3-kinase A,False
9bpm,9bpm_A,"Actin, alpha cardiac muscle 1",True
9bpm,9bpm_B,"Actin, alpha cardiac muscle 1",True
9bpm,9bpm_C,"Actin, alpha cardiac muscle 1",True
9bpm,9bpm_D,"Actin, alpha cardiac muscle 1",True
5ogw,5ogw_A,Actin-1,True
5ogw,5ogw_B,Actin-1,True
5ogw,5ogw_C,Actin-1,True
5ogw,5ogw_D,Actin-1,True
5ogw,5ogw_E,Actin-1,True
9qfj,9qfj_G,Cofilin-1,False
